Sr#,Category,Sub-Category,File Name,Extension,Label,Full Path
1,Garbage,No Garbage,Img (1).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (1).jpeg
2,Garbage,No Garbage,Img (1).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (1).jpg
3,Garbage,No Garbage,Img (1).png,PNG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (1).png
4,Garbage,No Garbage,Img (10).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (10).jpeg
5,Garbage,No Garbage,Img (10).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (10).jpg
6,Garbage,No Garbage,Img (100).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (100).jpeg
7,Garbage,No Garbage,Img (100).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (100).jpg
8,Garbage,No Garbage,Img (11).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (11).jpeg
9,Garbage,No Garbage,Img (11).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (11).jpg
10,Garbage,No Garbage,Img (12).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (12).jpeg
11,Garbage,No Garbage,Img (12).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (12).jpg
12,Garbage,No Garbage,Img (13).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (13).jpeg
13,Garbage,No Garbage,Img (13).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (13).jpg
14,Garbage,No Garbage,Img (14).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (14).jpeg
15,Garbage,No Garbage,Img (14).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (14).jpg
16,Garbage,No Garbage,Img (15).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (15).jpeg
17,Garbage,No Garbage,Img (15).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (15).jpg
18,Garbage,No Garbage,Img (16).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (16).jpeg
19,Garbage,No Garbage,Img (16).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (16).jpg
20,Garbage,No Garbage,Img (17).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (17).jpeg
21,Garbage,No Garbage,Img (17).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (17).jpg
22,Garbage,No Garbage,Img (18).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (18).jpeg
23,Garbage,No Garbage,Img (18).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (18).jpg
24,Garbage,No Garbage,Img (19).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (19).jpeg
25,Garbage,No Garbage,Img (19).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (19).jpg
26,Garbage,No Garbage,Img (2).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (2).jpeg
27,Garbage,No Garbage,Img (2).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (2).jpg
28,Garbage,No Garbage,Img (20).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (20).jpeg
29,Garbage,No Garbage,Img (20).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (20).jpg
30,Garbage,No Garbage,Img (21).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (21).jpeg
31,Garbage,No Garbage,Img (21).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (21).jpg
32,Garbage,No Garbage,Img (22).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (22).jpeg
33,Garbage,No Garbage,Img (22).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (22).jpg
34,Garbage,No Garbage,Img (23).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (23).jpeg
35,Garbage,No Garbage,Img (23).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (23).jpg
36,Garbage,No Garbage,Img (24).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (24).jpeg
37,Garbage,No Garbage,Img (24).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (24).jpg
38,Garbage,No Garbage,Img (25).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (25).jpeg
39,Garbage,No Garbage,Img (25).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (25).jpg
40,Garbage,No Garbage,Img (26).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (26).jpeg
41,Garbage,No Garbage,Img (26).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (26).jpg
42,Garbage,No Garbage,Img (27).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (27).jpeg
43,Garbage,No Garbage,Img (27).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (27).jpg
44,Garbage,No Garbage,Img (28).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (28).jpeg
45,Garbage,No Garbage,Img (28).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (28).jpg
46,Garbage,No Garbage,Img (29).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (29).jpeg
47,Garbage,No Garbage,Img (29).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (29).jpg
48,Garbage,No Garbage,Img (3).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (3).jpeg
49,Garbage,No Garbage,Img (3).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (3).jpg
50,Garbage,No Garbage,Img (30).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (30).jpeg
51,Garbage,No Garbage,Img (30).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (30).jpg
52,Garbage,No Garbage,Img (31).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (31).jpeg
53,Garbage,No Garbage,Img (31).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (31).jpg
54,Garbage,No Garbage,Img (32).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (32).jpeg
55,Garbage,No Garbage,Img (32).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (32).jpg
56,Garbage,No Garbage,Img (33).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (33).jpeg
57,Garbage,No Garbage,Img (33).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (33).jpg
58,Garbage,No Garbage,Img (34).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (34).jpeg
59,Garbage,No Garbage,Img (34).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (34).jpg
60,Garbage,No Garbage,Img (35).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (35).jpeg
61,Garbage,No Garbage,Img (35).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (35).jpg
62,Garbage,No Garbage,Img (36).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (36).jpeg
63,Garbage,No Garbage,Img (36).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (36).jpg
64,Garbage,No Garbage,Img (37).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (37).jpeg
